name,parent,value
Origin,,
Albuquerque,Origin,50085
Arlington,Origin,20435
Atlanta,Origin,170759
Aurora,Origin,19093
Austin,Origin,43710
Baltimore,Origin,359125
Baltimore,Origin,359125
Boston,Origin,170604
Buffalo,Origin,74807
Charlotte,Origin,84853
Chicago,Origin,891145
Cincinnati,Origin,67274
Cleveland,Origin,167370
Columbus,Origin,119480
Dallas,Origin,251894
Denver,Origin,62621
Detroit,Origin,436709
El Paso,Origin,34074
Fairfax,Origin,17034
Fort Worth,Origin,76925
Fresno,Origin,55858
Honolulu,Origin,43096
Houston,Origin,396877
Indianapolis,Origin,106835
Jacksonville,Origin,94632
Kansas City,Origin,109738
Las Vegas,Origin,130103
Long Beach,Origin,89198
Los Angeles,Origin,973648
Los Angeles,Origin,973648
Memphis,Origin,172534
Mesa,Origin,14501
Miami,Origin,168544
Miami-Dade,Origin,171070
Milwaukee,Origin,116542
Minneapolis,Origin,94426
Montgomery,Origin,32688
Nashville,Origin,85261
Nassau,Origin,35070
New Orleans,Origin,135695
New York,Origin,2309302
Newark,Origin,147736
Oakland,Origin,131467
Oklahoma City,Origin,53418
Omaha,Origin,31573
Orlando,Origin,36715
Philadelphia,Origin,402202
Phoenix,Origin,128296
Pittsburgh,Origin,89068
Portland,Origin,79667
Prince George's County,Origin,109871
Raleigh,Origin,22446
Sacramento,Origin,68116
Salt Lake City,Origin,19738
San Antonio,Origin,91720
San Diego,Origin,106365
San Francisco,Origin,202335
San Jose,Origin,43898
Seattle,Origin,81833
St. Louis,Origin,151553
Suffolk,Origin,40718
Tampa,Origin,74684
Tucson,Origin,43433
Tulsa,Origin,38693
Virginia Beach,Origin,15490
"Washington, D.C.",Origin,220692
Wichita,Origin,28498
