name,parent,value
Origin,,
Albuquerque,Origin,118638
Arlington,Origin,42280
Atlanta,Origin,234928
Aurora,Origin,51435
Austin,Origin,59057
Baltimore,Origin,434120
Baltimore,Origin,434120
Boston,Origin,184646
Buffalo,Origin,77670
Charlotte,Origin,155752
Chicago,Origin,951805
Cincinnati,Origin,60640
Cleveland,Origin,98467
Columbus,Origin,71789
Dallas,Origin,277602
Denver,Origin,85652
Detroit,Origin,420940
El Paso,Origin,105306
Fairfax,Origin,12856
Fort Worth,Origin,107692
Fresno,Origin,73621
Honolulu,Origin,40373
Houston,Origin,367276
Indianapolis,Origin,150160
Jacksonville,Origin,173129
Kansas City,Origin,181038
Las Vegas,Origin,151613
Long Beach,Origin,76344
Los Angeles,Origin,1315263
Los Angeles,Origin,1315263
Memphis,Origin,189082
Mesa,Origin,50433
Miami,Origin,183075
Miami-Dade,Origin,302554
Milwaukee,Origin,96876
Minneapolis,Origin,83265
Montgomery,Origin,33800
Nashville,Origin,165843
Nassau,Origin,29265
New Orleans,Origin,109681
New York,Origin,1757519
Newark,Origin,108693
Oakland,Origin,123846
Oklahoma City,Origin,110626
Omaha,Origin,71569
Orlando,Origin,78961
Philadelphia,Origin,294561
Phoenix,Origin,197849
Pittsburgh,Origin,57941
Portland,Origin,135936
Prince George's County,Origin,104798
Raleigh,Origin,36002
Sacramento,Origin,73492
Salt Lake City,Origin,25223
San Antonio,Origin,134440
San Diego,Origin,179318
San Francisco,Origin,133427
San Jose,Origin,104852
Seattle,Origin,105006
St. Louis,Origin,203952
Suffolk,Origin,47541
Tampa,Origin,138179
Tucson,Origin,93217
Tulsa,Origin,100732
Virginia Beach,Origin,13151
"Washington, D.C.",Origin,183733
Wichita,Origin,51428
